municode,muniname
101,1st Ward  - PITTSBURGH
102,2nd Ward - PITTSBURGH
103,3rd Ward - PITTSBURGH
104,4th Ward - PITTSBURGH
105,5th Ward - PITTSBURGH
106,6th Ward - PITTSBURGH
107,7th Ward - PITTSBURGH
120,20th Ward - PITTSBURGH
121,21st Ward - PITTSBURGH
108,8th Ward - PITTSBURGH
125,25th Ward - PITTSBURGH
124,24th Ward - PITTSBURGH
123,23rd Ward - PITTSBURGH
109,9th Ward - PITTSBURGH
110,10th Ward - PITTSBURGH
126,26th Ward - PITTSBURGH
122,22nd Ward - PITTSBURGH
111,11th Ward - PITTSBURGH
112,12th Ward - PITTSBURGH
113,13th Ward - PITTSBURGH
114,14th Ward - PITTSBURGH
127,27th Ward - PITTSBURGH
115,15th Ward - PITTSBURGH
116,16th Ward - PITTSBURGH
117,17th Ward - PITTSBURGH
118,18th Ward - PITTSBURGH
119,19th Ward - PITTSBURGH
130,30th Ward - PITTSBURGH
131,31st Ward - PITTSBURGH
128,28th Ward - PITTSBURGH
129,29th Ward - PITTSBURGH
408,8th Ward  - McKEESPORT
407,7th Ward  - McKEESPORT
132,32nd Ward - PITTSBURGH
202,2nd Ward - CLAIRTON
201,1st Ward - CLAIRTON
301,1st Ward  - DUQUESNE
802,Avalon  
803,Bellevue  
801,Aspinwall  
804,Ben Avon  
410,10th Ward -  McKEESPORT
409,9th Ward  -  McKEESPORT
403,3rd Ward - McKEESPORT
302,2nd Ward  - DUQUESNE
303,3rd Ward  - DUQUESNE
406,6th Ward  - McKEESPORT
401,1st Ward  - McKEESPORT
402,2nd Ward - McKEESPORT  
404,4th Ward - McKEESPORT 
405,5th Ward  - McKEESPORT
812,Carnegie  
811,Bridgeville  
809,Bradford Woods
808,Braddock  
810,Brentwood
807,Brackenridge  
412,12th Ward  - McKEESPORT
411,11th Ward  - McKEESPORT
805,Ben Avon Heights  
806,Blawnox  
813,Castle Shannon  
822,East Pittsburgh  
820,Dravosburg  
821,East McKeesport  
814,Chalfant  
816,Churchill  
815,Cheswick  
817,Coraopolis  
818,Crafton  
828,Forest Hills  
829,Glassport  
824,Edgeworth  
823,Edgewood  
825,Elizabeth Boro  
819,Dormont  
840,Munhall  
839,Mt. Oliver  
835,Ingram  
836,Leetsdale  
837,Liberty  
834,Homestead  
831,Greentree  
832,Haysville  
833,Heidelberg  
826,Emsworth  
838,Millvale  
827,Etna  
830,Glenfield  
843,North Braddock  
844,Oakdale  
845,Oakmont  
842,McKees Rocks  
841,McDonald  
853,Springdale Boro  
852,Sharpsburg  
848,Port Vue  
847,Pitcairn  
849,Rankin  
851,Sewickley  
850,Rosslyn Farms  
855,Tarentum  
854,Swissvale  
861,Wall  
858,Turtle Creek  
859,Verona  
860,Versailles  
846,Glen Osborne
856,Thornburg  
857,Trafford  
863,West Homestead  
864,West View  
866,Wilkinsburg  
862,West Elizabeth  
865,Whitaker  
873,Pleasant Hills  
872,Braddock Hills  
867,Wilmerding  
868,Fox Chapel  
870,West Mifflin  
869,Sewickley Heights  
878,Jefferson Hills
875,White Oak  
874,Whitehall  
876,Bethel Park  
871,Pennsbury Village  
877,Baldwin Boro  
879,Monroeville  
929,North Fayette  
880,Plum  
930,North Versailles  
884,Franklin Park 
883,Bell Acres  
881,Lincoln  
882,Sewickley Hills  
910,Findlay  
909,Fawn  
901,Aleppo  
902,Baldwin Twp  
908,Elizabeth Twp  
905,Collier  
906,Crescent  
907,East Deer  
934,Penn Hills  
914,Hampton  
950,Upper St. Clair  
946,South Fayette  
911,Forward  
917,Indiana  
919,Kennedy  
915,Harmar  
916,Harrison  
913,Frazer  
926,Mt.Lebanon  
925,Moon  
920,Kilbuck  
921,Leet  
923,Marshall  
927,McCandless  
928,Neville  
932,Ohio  
931,O''Hara  
935,Pine  
938,Richland  
939,Robinson  
937,Reserve  
941,Scott  
940,Ross  
944,Shaler  
945,South Park  
949,Stowe  
948,Springdale Twp  
947,South Versailles  
952,West Deer  
953,Wilkins 
